id,Position,Track Name,Artist,Popularity
1,1,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,96
2,2,Heat Waves,Glass Animals,94
3,3,pushin P (feat. Young Thug),Gunna,91
4,4,Still D.R.E.,Dr. Dre,86
5,5,Super Gremlin,Kodak Black,65
6,6,"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,73
7,7,STAY (with Justin Bieber),The Kid LAROI,92
8,8,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,90
9,9,The Next Episode,Dr. Dre,83
10,10,I Love You So,The Walters,94
11,11,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,79
12,12,abcdefu,GAYLE,100
13,13,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,79
14,14,City of Gods,Fivio Foreign,80
15,15,Need to Know,Doja Cat,93
16,16,Boyfriend,Dove Cameron,83
17,17,Knife Talk (with 21 Savage ft. Project Pat),Drake,89
18,18,Cigarettes,Juice WRLD,87
19,19,family ties (with Kendrick Lamar),Baby Keem,81
20,20,THATS WHAT I WANT,Lil Nas X,95
21,21,Dark Red,Steve Lacy,90
22,22,MAMIII,Becky G,83
23,23,Lost,Frank Ocean,42
24,24,Easy On Me,Adele,91
25,25,good 4 u,Olivia Rodrigo,95
26,26,The Family Madrigal,Stephanie Beatriz,90
27,27,Cold Heart - PNAU Remix,Elton John,78
28,28,The Real Slim Shady,Eminem,89
29,29,In Da Club,50 Cent,83
30,30,Ghost,Justin Bieber,92
31,31,she's all i wanna be,Tate McRae,86
32,32,Sweater Weather,The Neighbourhood,92
33,33,Woman,Doja Cat,95
34,34,No Role Modelz,J. Cole,87
35,35,California Love - Original Version,2Pac,80
36,36,505,Arctic Monkeys,83
37,37,Alright,Kendrick Lamar,79
38,38,I Hate U,SZA,91
39,39,Shivers,Ed Sheeran,95
40,40,Kiss Me More (feat. SZA),Doja Cat,88
41,41,The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,84
42,42,Without Me,Eminem,90
43,43,Forgot About Dre,Dr. Dre,81
44,44,What Else Can I Do?,Diane Guerrero,89
45,45,Notion,The Rare Occasions,89
46,46,'Till I Collapse,Eminem,88
47,47,HUMBLE.,Kendrick Lamar,85
48,48,Numb Little Bug,Em Beihold,85
49,49,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,90
50,50,Fingers Crossed,Lauren Spencer-Smith,64
